"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"augustus_masked-NW_019167827.1-processed-gene-35.5-mRNA-1:7",1663.40353826092,-6.39575916567238,1.81412274134075,-3.52553827804701,0.000422623096119727,0.0194026738285978
"augustus_masked-NW_019167827.1-processed-gene-7.14-mRNA-1:2",56.5714664533994,-6.75895889379723,1.92051049385255,-3.51935535652228,0.000432596851738846,0.0196398970689436
"augustus_masked-NW_019167827.1-processed-gene-189.5-mRNA-1:9",257.313505570812,3.30052242949194,0.940127311259292,3.51071859094373,0.000446897214640044,0.0199487424347437
"augustus_masked-NW_019167827.1-processed-gene-24.2-mRNA-1:6",109.741867212075,-6.99432029323507,1.99303971110064,-3.50937327253379,0.00044916404894675,0.0199487424347437
"augustus_masked-NW_019167827.1-processed-gene-25.13-mRNA-1:3",117.350598814992,-3.92663678686642,1.12121567332938,-3.50212441751418,0.00046156402685589,0.0200120019018188
"augustus_masked-NW_019167827.1-processed-gene-45.4-mRNA-1:7",281.820860332752,-5.32956707595109,1.52183745600022,-3.50206065367752,0.000461674505702618,0.0200120019018188
"augustus_masked-NW_019167827.1-processed-gene-60.6-mRNA-1:3",34.7309991675841,4.2241280372184,1.20843954330988,3.49552285060835,0.000473133939134723,0.0200120019018188
"augustus_masked-NW_019167827.1-processed-gene-26.0-mRNA-1:1",249.548672587289,-7.06981277821407,2.02315704237095,-3.49444587352888,0.000475046923923463,0.0200120019018188
"augustus_masked-NW_019167827.1-processed-gene-57.10-mRNA-1:1",68.5238441945433,-6.8891119356548,1.97184943412639,-3.49373122330051,0.000476320303851146,0.0200120019018188
"augustus_masked-NW_019167827.1-processed-gene-21.2-mRNA-1:11",113.439992907547,-5.11014176959195,1.46452806750742,-3.48927540753061,0.000484331864988074,0.0200120019018188
"augustus_masked-NW_019167827.1-processed-gene-230.2-mRNA-1:2",100.590004304107,-4.98852847479572,1.43003055936381,-3.48840690300703,0.000485907999738453,0.0200120019018188
"augustus_masked-NW_019167827.1-processed-gene-57.14-mRNA-1:2",138.504381611647,-5.30264382902295,1.52145977067522,-3.48523433299169,0.000491706223279089,0.0200120019018188
"augustus_masked-NW_019167827.1-processed-gene-91.2-mRNA-1:11",7664.05209051907,-3.54250202572846,1.0169003900967,-3.48362736431991,0.000494667692629392,0.0200120019018188
"augustus_masked-NW_019167827.1-processed-gene-199.2-mRNA-1:9",87.9721998986728,-6.91911125171379,1.98837046255351,-3.47978979874209,0.000501807327448751,0.0201018111760353
"augustus_masked-NW_019167827.1-processed-gene-42.17-mRNA-1:1",206.595142581586,2.87706979977414,0.828084288052819,3.47436829955965,0.000512057663908018,0.0203132778128948
